selection_rank	species_id	assembly_bp	primary_chromosomes	primary_assembly_fraction	annotation_genes	wgd_design	candidate_reference_design	evaluator_reference_design	declared_use
1	Populus_trichocarpa	392162179	19	0.992458	34699	salicoid_WGD_after_Salicaceae_Euphorbiaceae_split	Salix_purpurea+Salix_suchowensis	Manihot_esculenta+Ricinus_communis	unique_primary_confirmatory_holdout
2	Actinidia_chinensis_Red5	553842477	29	0.989413	32950	Actinidia_lineage_specific_WGD	Actinidia_eriantha+Actinidia_rufa	Rhododendron_simsii+Diospyros_oleifera	predeclared_secondary_replication_not_replacement
3	Helianthus_annuus_HanXRQ	3027844945	17	0.990736	52191	Asteraceae_lineage_specific_WGD	Carthamus_tinctorius+Erigeron_canadensis	Lactuca_sativa+Cynara_cardunculus	future_repeat_rich_scale_stress_not_replacement
