role	artifact	release	bytes	sha256	source_path
target_quality_only	genome_fasta_gz	Ensembl_Plants_release_62_HanXRQr2.0-SUNRISE	870191765	f0d5f51b31fd80d3e787ca70006ac9bf4bc29ae7f4d41c97423b2d24cb7bb2ac	/nas_data/NFS/Public_genome_data/Ensemble/fasta/helianthus_annuus/dna/Helianthus_annuus.HanXRQr2.0-SUNRISE.dna.toplevel.fa.gz
target_quality_only	annotation_gff3_gz	Ensembl_Plants_release_62_HanXRQr2.0-SUNRISE	12076310	fb43da5d9c5815eea0f2a5800b653b8e3f936bb68bb17aa6e299cda7ba66c587	/nas_data/NFS/Public_genome_data/Ensemble/gff3/helianthus_annuus/Helianthus_annuus.HanXRQr2.0-SUNRISE.62.gff3.gz
target_quality_only	protein_fasta_gz	Ensembl_Plants_release_62_HanXRQr2.0-SUNRISE	16098443	b287656cb60dd8945e00443057367103c8f02dedaea98ad6ed181bcd88f31a44	/nas_data/NFS/Public_genome_data/Ensemble/fasta/helianthus_annuus/pep/Helianthus_annuus.HanXRQr2.0-SUNRISE.pep.all.fa.gz
