source_id	citation	doi	url	evidence_scope	independent_evidence_class	qualifies_for_applicability
badouin_2017_sunflower_genome	Badouin et al. 2017. The sunflower genome provides insights into oil metabolism, flowering and Asterid evolution.	10.1038/nature22380	https://doi.org/10.1038/nature22380	sunflower genome comparative collinearity supports the younger sunflower-side WGD-2	chromosome_scale_genome_comparative_analysis	true
huang_2016_asteraceae_phylogenomics	Huang et al. 2016. Multiple Polyploidization Events across Asteraceae with Two Nested Events in the Early History Revealed by Nuclear Phylogenomics.	10.1093/molbev/msw157	https://doi.org/10.1093/molbev/msw157	independent nuclear-gene phylogenomics supports nested Asteraceae polyploidization	nuclear_gene_tree_phylogenomics	true
