baseline_id	version	upstream_revision	distribution	license	primary_role	frozen_status
miniprot_gap	0.18-r281	0.18-r281	project_conda_prefix	MIT	protein_to_genome_candidate_source	completed_brassica_and_glycine
syngap	1.2.5	7196d1cb554f089a53b6bf094cb8115893afb7fb	bioconda_sha256_dc107d59bb6ecd3b76fe781b539fd60ba2521f303dae1d0ab4349a212f58408b	CC-BY-NC-SA-4.0	direct_synteny_gap_polishing_competitor	environment_validated
gemoma	1.9	GeMoMa-1.9	bioconda_sha256_1c19229301adc2a3afc28e25b3d62e242ea92adf67f62fe7e0875316f39d581c	GPL-3.0	intron_conservation_homology_prediction	environment_validated
lifton	1.0.11	c623f0bddc5b5051a3670a3b0064c52cc61bb719	pypi_sdist_sha256_c2125db9bede3640e13c6aa6a0672887aaf2611710442f9bf69017197d188f88	GPL-3.0-or-later	dna_plus_protein_annotation_transfer	environment_validated
